id	pubchemid	casrn	chemical_name	substance_type	pmid	experiment_type	cell_tissue_microbe_strain	test_organism	test_organism_lifestage	administration_method	target_organism	unit	administered_dose_range	significant_dose_range	time_to_death_of_target_organism_in_minutes	anthelminthic_efficacy_in_percent	therapeutic_action
RID10141			Glycyrrhiza uralensis extract	Compound	33905159	In vitro	Parasite	Trachinotus ovatus			Neobenedenia girellae	mg/L	250.0-1000.0	250.0-1000.0	-	33.5-100.0	Antiparasitic
RID10140			Glycine max seed extract	Mixture	24005478	In vivo		Carassius auratus			Dactylogyrus intermedius	mg/L	237.5	237.5	-	68.0	Antiparasitic
RID10213			Paeonia suffruticosa root bark extract	Mixture	24005478	In vivo		Carassius auratus			Dactylogyrus intermedius	mg/L	400.0	400.0	-	85.0	Antiparasitic
RID10013		CAS:8024-37-1	Curcuma oil	Mixture	35804584	In vivo		Carassius auratus		Screening	Gyrodactylus kobayashii	mg/L	12.0	12.0	-	100.0	Antiparasitic
RID10012		CAS:8015-97-2	Clove leaf oil	Mixture	35804584	In vivo		Carassius auratus		Screening	Gyrodactylus kobayashii	mg/L	18.0	18.0	-	36.02	Antiparasitic
RID10013		CAS:8024-37-1	Curcuma oil	Mixture	35804584	In vivo		Carassius auratus		Bath	Gyrodactylus kobayashii	mg/L	10.0-24.0	10.0-24.0	120.0-240.0	100.0	Antiparasitic
RID10135			Gardenia jasminoides fruit extract	Mixture	24005478	In vivo		Carassius auratus			Dactylogyrus intermedius	mg/L	450.0	450.0	-	62.0	Antiparasitic
RID10014		CAS:84929-31-7	Lemon oil	Mixture	35804584	In vivo		Carassius auratus		Screening	Gyrodactylus kobayashii	mg/L	10.0	10.0	-	5.62	Antiparasitic
RID10041			Artemisia argyi leaf extract	Mixture	24005478	In vivo		Carassius auratus			Dactylogyrus intermedius	mg/L	300.0	300.0	-	100.0	Antiparasitic
RID10043			Astragalus membranaceus extract	Compound	33905159	In vitro	Parasite	Trachinotus ovatus			Neobenedenia girellae	mg/L	125.0-1000.0	125.0-1000.0	-	6.7-100.0	Antiparasitic
RID10047			Atractylodes lancea rhizome extract	Mixture	24005478	In vivo		Carassius auratus			Dactylogyrus intermedius	mg/L	225.0	225.0	-	58.0	Antiparasitic
RID10049			Azadirachta indica essential oil	Mixture	35804584	In vivo		Carassius auratus		Screening	Gyrodactylus kobayashii	mg/L	40.0	40.0	-	100.0	Antiparasitic
