id	pubchemid	casrn	chemical_name	substance_type	pmid	experiment_type	cell_tissue_microbe_strain	test_organism	test_organism_lifestage	administration_method	unit	administered_dose_range	significant_dose_range	trend	measurement	effect
RID00137	CID:4004	CAS:121-75-5	Malathion	Compound	26401637	In vivo		Daphnia magna			µg/L	1.42	1.42	Increased	Acute toxic effect concentration	Physiology
RID00138	CID:4030	CAS:31431-39-7	Mebendazole	Compound	39837239	In vivo		Carassius auratus		Bath	mg/L	0.3662	0.3662	Increased	Lethal body concentration	Mortality
RID00138	CID:4030	CAS:31431-39-7	Mebendazole	Compound	39992024	In vivo		Carassius auratus			mg/L	1	1	Increased	Lethal body concentration	Mortality
RID00139	CID:40326	CAS:52645-53-1	Permethrin	Compound	37215181	In vivo		Homarus americanus	Post-larval stage IV	Sediment treatment	μg/kg	100	100	Decreased	Size	Growth
RID00139	CID:40326	CAS:52645-53-1	Permethrin	Compound	37215181	In vivo		Homarus americanus	Post-larval stage IV	Sediment treatment	μg/kg	10.0-100.0	10.0-100.0	Decreased	Specific growth rate	Growth
RID00139	CID:40326	CAS:52645-53-1	Permethrin	Compound	37215181	In vivo		Homarus americanus	Post-larval stage IV	Sediment treatment	μg/kg	3.0-100.0	10.0-100.0	Increased	Intermolt period	Development
RID00140	CID:4055	CAS:58-27-5	Menadione	Compound	38522112	In vivo		Carassius auratus			mg/L	1.194	1.194	Decreased	Lethal body concentration	Mortality
RID00141	CID:40585	CAS:52918-63-5	Deltamethrin	Compound	26401637	In vivo		Daphnia magna			µg/L	0.0472	0.0472	Disturbed	Acute toxic effect concentration	Physiology
RID00141	CID:40585	CAS:52918-63-5	Deltamethrin	Compound	32112997	In vivo		Pandalus borealis	Larva	Water treatment	ng/L	2	2	Decreased	Maturity	Development
RID00141	CID:40585	CAS:52918-63-5	Deltamethrin	Compound	32112997	In vivo		Pandalus borealis	Larva	Water treatment	ng/L	2	2	Decreased	Swimming	Behavior
RID00141	CID:40585	CAS:52918-63-5	Deltamethrin	Compound	32112997	In vivo		Pandalus borealis	Larva	Water treatment	ng/L	2	2	Increased	Survival	Mortality
RID00141	CID:40585	CAS:52918-63-5	Deltamethrin	Compound	32112997	In vivo		Pandalus borealis	Larva	Water treatment	ng/L	2	2	Increased	Weak larvae	Physiology
RID00141	CID:40585	CAS:52918-63-5	Deltamethrin	Compound	34555744	In vivo		Pandalus borealis	Adult		ng/l	1	1	Decreased	Survival	Mortality
RID00141	CID:40585	CAS:52918-63-5	Deltamethrin	Compound	34555744	In vivo		Pandalus borealis	Adult		ng/l	0.2-1.0	0.2-1.0	Disturbed	Swimming	Behavior
RID00141	CID:40585	CAS:52918-63-5	Deltamethrin	Compound	34628582	In vivo		Oncorhynchus gorbuscha	Fry	Sediment treatment	ng/kg	300.0-1035.0	300.0-1035.0	Disturbed	Lethal body concentration	Mortality
RID00141	CID:40585	CAS:52918-63-5	Deltamethrin	Compound	34628582	In vivo		Oncorhynchus gorbuscha	Fry	Sediment treatment	ng/kg	100.0-300.0	100.0-300.0	Disturbed	Subchronic/Chronic toxic concentration	Mortality
RID00141	CID:40585	CAS:52918-63-5	Deltamethrin	Compound	34628582	In vivo		Oncorhynchus gorbuscha	Fry	Water treatment	ng/L	10.0-500.0	500	Decreased	Smell/Sniff	Behavior
RID00141	CID:40585	CAS:52918-63-5	Deltamethrin	Compound	34628582	In vivo		Oncorhynchus gorbuscha	Fry	Water treatment	ng/L	30.0-100.0	30.0-100.0	Decreased	Subchronic/Chronic toxic concentration	Mortality
RID00141	CID:40585	CAS:52918-63-5	Deltamethrin	Compound	34628582	In vivo		Oncorhynchus gorbuscha	Fry	Water treatment	ng/L	200.0-500.0	200.0-500.0	Decreased	Swimming	Behavior
RID00141	CID:40585	CAS:52918-63-5	Deltamethrin	Compound	34628582	In vivo		Oncorhynchus gorbuscha	Fry	Water treatment	ng/L	100	100	Disturbed	Lethal body concentration	Mortality
RID00141	CID:40585	CAS:52918-63-5	Deltamethrin	Compound	34628582	In vivo		Oncorhynchus gorbuscha	Fry	Water treatment	ng/L	980	980	Increased	Lethal body concentration	Mortality
RID00142	CID:40854	CAS:53716-50-0	Oxfendazole	Compound	39992024	In vivo		Carassius auratus			mg/L	10	10	Decreased	Lethal body concentration	Mortality
RID00143	CID:410087	CAS:25655-41-8	Betadine	Compound	34816339	In vivo		Carassius auratus	Fingerling		mg/L	158.8	158.8	Decreased	Lethal body concentration	Mortality
RID00143	CID:410087	CAS:25655-41-8	Betadine	Compound	34816339	In vivo		Carassius auratus	Fingerling		mg/L	10.0-240.0	240	Decreased	Survival	Mortality
RID00143	CID:410087	CAS:25655-41-8	Betadine	Compound	34816339	In vivo		Carassius auratus	Fingerling		mg/L	220.0-240.0	220.0-240.0	Increase	Hemorrhage	Histology
RID00143	CID:410087	CAS:25655-41-8	Betadine	Compound	34816339	In vivo		Carassius auratus	Fingerling		mg/L	140.0-180.0	140.0-180.0	Increase	Hyperplasia	Histology
RID00143	CID:410087	CAS:25655-41-8	Betadine	Compound	34816339	In vivo		Carassius auratus	Fingerling		mg/L	160.0-180.0	160.0-180.0	Increase	Hypertrophy	Histology
RID00143	CID:410087	CAS:25655-41-8	Betadine	Compound	34816339	In vivo		Carassius auratus	Fingerling		mg/L	180.0-240.0	180.0-240.0	Increase	Necrosis	Histology
RID00143	CID:410087	CAS:25655-41-8	Povidone iodine	Compound	30453045	In vivo		Procambarus clarkii	Adult	Water treatment	mL/m³	0.75	0.75	Decreased	Prophenoloxidase activity	Enzyme(s)
RID00143	CID:410087	CAS:25655-41-8	Povidone iodine	Compound	30453045	In vivo		Procambarus clarkii	Adult	Water treatment	mL/m³	0.75	0.75	Decreased	Superoxide dismutase (SOD) enzyme activity	Enzyme(s)
RID00143	CID:410087	CAS:25655-41-8	Povidone iodine	Compound	30453045	In vivo		Procambarus clarkii	Adult	Water treatment	mL/m³	0.75	0.75	Decreased	Survival	Mortality
RID00143	CID:410087	CAS:25655-41-8	Povidone iodine	Compound	30453045	In vivo		Procambarus clarkii	Adult	Water treatment	mL/m³	0.75	0.75	Decreased	Total hematocyte count	Biochemistry
RID00143	CID:410087	CAS:25655-41-8	Povidone iodine	Compound	30453045	In vivo		Procambarus clarkii	Adult	Water treatment	mL/m³	0.75	0.75	Increased	Hemocyte Apoptosis	Biochemistry
RID00143	CID:410087	CAS:25655-41-8	Povidone iodine	Compound	30453045	In vivo		Procambarus clarkii	Adult	Water treatment + Vibrio alginolyticus infection	mL/m³	0.75	0.75	Decreased	Prophenoloxidase activity	Enzyme(s)
RID00143	CID:410087	CAS:25655-41-8	Povidone iodine	Compound	30453045	In vivo		Procambarus clarkii	Adult	Water treatment + Vibrio alginolyticus infection	mL/m³	0.75	0.75	Decreased	Superoxide dismutase (SOD) enzyme activity	Enzyme(s)
RID00143	CID:410087	CAS:25655-41-8	Povidone iodine	Compound	30453045	In vivo		Procambarus clarkii	Adult	Water treatment + Vibrio alginolyticus infection	mL/m³	0.75	0.75	Decreased	Survival	Mortality
RID00143	CID:410087	CAS:25655-41-8	Povidone iodine	Compound	30453045	In vivo		Procambarus clarkii	Adult	Water treatment + Vibrio alginolyticus infection	mL/m³	0.75	0.75	Decreased	Total hematocyte count	Biochemistry
RID00143	CID:410087	CAS:25655-41-8	Povidone iodine	Compound	30453045	In vivo		Procambarus clarkii	Adult	Water treatment + Vibrio alginolyticus infection	mL/m³	0.75	0.75	Increased	Hemocyte Apoptosis	Biochemistry
