id	pubchemid	casrn	predicted_melting_point	experimental_melting_point	predicted_water_solubility_wskow	experimental_water_solubility	qsar_class	organism	duration	endpoint	concentration
RID00011	CID:10281	CAS:490-91-5	60.874359130859375		865.3070678710938		Neutral Organics	Fish (SW)	96-hr	LC50	112.43162536621094
RID00011	CID:10281	CAS:490-91-5	60.874359130859375		865.3070678710938		Neutral Organics	Mysid	96-hr	LC50	72.9706802368164
RID00011	CID:10281	CAS:490-91-5	60.874359130859375		865.3070678710938		Quinones	Fish	96-hr	LC50	0.055031124502420425
RID00011	CID:10281	CAS:490-91-5	60.874359130859375		865.3070678710938		Quinones	Daphnid	48-hr	LC50	0.21732443571090698
RID00011	CID:10281	CAS:490-91-5	60.874359130859375		865.3070678710938		Quinones	Green Algae	96-hr	EC50	0.045954540371894836
RID10003		CAS:8000-34-8	60.5709228515625		304.6962890625		Neutral Organics	Fish	96-hr	LC50	29.76166343688965
RID10003		CAS:8000-34-8	60.5709228515625		304.6962890625		Neutral Organics	Daphnid	48-hr	LC50	18.078495025634766
RID10003		CAS:8000-34-8	60.5709228515625		304.6962890625		Neutral Organics	Green Algae	96-hr	EC50	17.800357818603516
RID10003		CAS:8000-34-8	60.5709228515625		304.6962890625		Neutral Organics	Fish (SW)	96-hr	LC50	37.63199996948242
RID10003		CAS:8000-34-8	60.5709228515625		304.6962890625		Neutral Organics	Mysid	96-hr	LC50	17.047306060791016
RID10003		CAS:8000-34-8	60.5709228515625		304.6962890625		Phenols	Fish	96-hr	LC50	7.034245491027832
RID10003		CAS:8000-34-8	60.5709228515625		304.6962890625		Phenols	Daphnid	48-hr	LC50	4.239360332489014
RID10003		CAS:8000-34-8	60.5709228515625		304.6962890625		Phenols	Green Algae	96-hr	EC50	9.140618324279785
RID10003		CAS:8000-34-8	60.5709228515625		304.6962890625		Phenols	Fish (SW)	96-hr	LC50	5.718510627746582
RID10003		CAS:8000-34-8	60.5709228515625		304.6962890625		Phenols	Mysid (SW)	96-hr	LC50	1.6492732763290405
RID10003		CAS:8000-34-8	60.5709228515625		304.6962890625		Phenols	Green Algae (SW)	96-hr	LC50	3.196962833404541
RID10003		CAS:8000-34-8	60.5709228515625		304.6962890625		Phenols	Lemna gibba	7-day	EC50	4.732396125793457
RID00164	CID:445858	CAS:1135-24-6	126.0685043334961		5970.2255859375		Neutral Organics	Fish	96-hr	LC50	4394.330078125
RID00164	CID:445858	CAS:1135-24-6	126.0685043334961		5970.2255859375		Neutral Organics	Daphnid	48-hr	LC50	2384.755126953125
RID00164	CID:445858	CAS:1135-24-6	126.0685043334961		5970.2255859375		Neutral Organics	Green Algae	96-hr	EC50	1473.335693359375
RID00164	CID:445858	CAS:1135-24-6	126.0685043334961		5970.2255859375		Neutral Organics	Fish (SW)	96-hr	LC50	5515.9296875
RID00164	CID:445858	CAS:1135-24-6	126.0685043334961		5970.2255859375		Neutral Organics	Mysid	96-hr	LC50	5713.1640625
RID00164	CID:445858	CAS:1135-24-6	126.0685043334961		5970.2255859375		Phenols	Fish	96-hr	LC50	574.9058837890625
RID00164	CID:445858	CAS:1135-24-6	126.0685043334961		5970.2255859375		Phenols	Daphnid	48-hr	LC50	199.5991668701172
RID00164	CID:445858	CAS:1135-24-6	126.0685043334961		5970.2255859375		Phenols	Green Algae	96-hr	EC50	713.2005615234375
RID00164	CID:445858	CAS:1135-24-6	126.0685043334961		5970.2255859375		Phenols	Fish (SW)	96-hr	LC50	665.6390380859375
RID00164	CID:445858	CAS:1135-24-6	126.0685043334961		5970.2255859375		Phenols	Mysid (SW)	96-hr	LC50	156.62557983398438
RID00164	CID:445858	CAS:1135-24-6	126.0685043334961		5970.2255859375		Phenols	Green Algae (SW)	96-hr	LC50	1998.0657958984375
RID00164	CID:445858	CAS:1135-24-6	126.0685043334961		5970.2255859375		Phenols	Lemna gibba	7-day	EC50	642.2332153320312
RID00300	CID:70291	CAS:935-92-2	63.21174240112305		2113.622314453125		Neutral Organics	Fish	96-hr	LC50	179.00546264648438
RID00300	CID:70291	CAS:935-92-2	63.21174240112305		2113.622314453125		Neutral Organics	Daphnid	48-hr	LC50	99.9650650024414
RID00300	CID:70291	CAS:935-92-2	63.21174240112305		2113.622314453125		Neutral Organics	Green Algae	96-hr	EC50	69.51912689208984
RID00300	CID:70291	CAS:935-92-2	63.21174240112305		2113.622314453125		Neutral Organics	Fish (SW)	96-hr	LC50	225.11180114746094
RID00300	CID:70291	CAS:935-92-2	63.21174240112305		2113.622314453125		Neutral Organics	Mysid	96-hr	LC50	188.9967041015625
RID00300	CID:70291	CAS:935-92-2	63.21174240112305		2113.622314453125		Quinones	Fish	96-hr	LC50	0.060662511736154556
RID00300	CID:70291	CAS:935-92-2	63.21174240112305		2113.622314453125		Quinones	Daphnid	48-hr	LC50	0.27352073788642883
RID00300	CID:70291	CAS:935-92-2	63.21174240112305		2113.622314453125		Quinones	Green Algae	96-hr	EC50	0.045843977481126785
RID00222	CID:5329	CAS:723-46-6	172.4288787841797		3941.645263671875	379	Anilines (Unhindered)	Fish	96-hr	LC50	144.91197204589844
RID00222	CID:5329	CAS:723-46-6	172.4288787841797		3941.645263671875	379	Anilines (Unhindered)	Daphnid	48-hr	LC50	5.0608367919921875
RID00222	CID:5329	CAS:723-46-6	172.4288787841797		3941.645263671875	379	Anilines (Unhindered)	Green Algae	96-hr	EC50	16.002328872680664
RID00222	CID:5329	CAS:723-46-6	172.4288787841797		3941.645263671875	379	Anilines (Unhindered)	Mysid	96-hr	LC50	73.20794677734375
RID00222	CID:5329	CAS:723-46-6	172.4288787841797		3941.645263671875	379	Neutral Organics	Fish	96-hr	LC50	2065.79541015625
