id	pubchemid	casrn	aquaculture_predator_species	prey_species	bcf_value
RID00258	CID:6321424	CAS:70288-86-7	Ictalurus punctatus	Lepomis macrochirus	50.87937659929992
RID00258	CID:6321424	CAS:70288-86-7	Homarus americanus	Mytilus edulis	749.9999999999999
RID00258	CID:6321424	CAS:70288-86-7	Gadus morhua	Mytilus edulis	749.9999999999999
RID00258	CID:6321424	CAS:70288-86-7	Anguilla anguilla	Mytilus edulis	749.9999999999999
RID00026	CID:11650986	CAS:155569-91-8	Ictalurus punctatus	Lepomis macrochirus	62.28034579405811
RID00026	CID:11650986	CAS:155569-91-8	Micropterus salmoides	Lepomis macrochirus	62.28034579405811
RID00026	CID:11650986	CAS:155569-91-8	Salmo trutta	Lepomis macrochirus	62.28034579405811
RID00322	CID:84029	CAS:81103-11-9	Salmo trutta	Gammarus pulex	0.2222222222222222
RID00322	CID:84029	CAS:81103-11-9	Oncorhynchus mykiss	Gammarus pulex	0.2222222222222222
RID00322	CID:84029	CAS:81103-11-9	Micropterus salmoides	Gammarus pulex	0.2222222222222222
RID00322	CID:84029	CAS:81103-11-9	Danio rerio	Daphnia magna	0.30303030303030304
RID00322	CID:84029	CAS:81103-11-9	Salmo salar	Gammarus pulex	0.2222222222222222
RID00322	CID:84029	CAS:81103-11-9	Carassius carassius	Gammarus pulex	0.2222222222222222
RID00322	CID:84029	CAS:81103-11-9	Carassius carassius	Daphnia magna	0.30303030303030304
RID00322	CID:84029	CAS:81103-11-9	Carassius auratus	Gammarus pulex	0.2222222222222222
RID00322	CID:84029	CAS:81103-11-9	Anguilla anguilla	Gammarus pulex	0.2222222222222222
RID00322	CID:84029	CAS:81103-11-9	Cyprinus carpio	Gammarus pulex	0.2222222222222222
RID00330	CID:91590	CAS:28159-98-0	Micropterus salmoides	Plantae	9250.000000000007
RID00330	CID:91590	CAS:28159-98-0	Monopterus albus	Plantae	9250.000000000007
RID00330	CID:91590	CAS:28159-98-0	Mylopharyngodon piceus	Plantae	9250.000000000007
RID00330	CID:91590	CAS:28159-98-0	Oncorhynchus mykiss	Gammarus pulex	0.9948320067476141
RID00330	CID:91590	CAS:28159-98-0	Oncorhynchus mykiss	Plantae	9250.000000000007
