"Unit"	"Converted value equivalent in PPM"	"Comment"	"Conversion to ppm"	"Covered in old units"
"AI mg/cm2"			"no"	"Yes"
"g/sd"			"no"	"Yes"
"ml/305 m"			"no"	"Yes"
"ng/org/d"			"no"	"Yes"
"cm3/0.7 ha"			"no"	"Yes"
"L/80 kg N/ha"			"no"	"Yes"
"ae ng/org"			"no"	"Yes"
"ml/kg diet/d"			"no"	"Yes"
"AI g/t"			"no"	"Yes"
"ml/100 lb sd"			"no"	"Yes"
"ml/500 ml"			"no"	"Yes"
"ml/ft3"			"no"	"Yes"
"ml/mi"			"no"	"Yes"
"g/m2 soil"			"no"	"Yes"
"ml/injection"			"no"	"Yes"
"g bt/m2"			"no"	"Yes"
"cm3/4 L"			"no"	"Yes"
"ml/org"			"no"	"Yes"
"AI g/org"			"no"	"Yes"
"ml/feddan"			"no"	"Yes"
"ml/3.79 L"			"no"	"Yes"
"g/dn(Std)"			"no"	"Yes"
"AI kg/1000 m"			"no"	"Yes"
"ul/10 ml"			"no"	"Yes"
"ml/acre"			"no"	"Yes"
"ml/ft"			"no"	"Yes"
"AI %/100 kg sd"			"no"	"Yes"
"mg/cm"			"no"	"Yes"
"AI g/60000 sd"			"no"	"Yes"
"ml/100 L diet"			"no"	"Yes"
"kg/eu"			"no"	"Yes"
"AI g/dn(Cyprus)"			"no"	"Yes"
"AI ul/L"			"no"	"Yes"
"pt"			"no"	"Yes"
"ml/100 m"			"no"	"Yes"
"AI ml/mi"			"no"	"Yes"
"Tbsp/gal"			"no"	"Yes"
"AI g/cm of dbh"			"no"	"Yes"
"ml/454 g diet"			"no"	"Yes"
"cm3/ft"			"no"	"Yes"
"cm3/dm3"			"no"	"Yes"
"cm3/yd2"			"no"	"Yes"
"uCi/g"			"no"	"Yes"
"tsp/mound"			"no"	"Yes"
"RA"			"no"	"Yes"
"fl oz/acre"			"no"	"Yes"
"gal/0.5 rod2"			"no"	"Yes"
"ml/cntr"			"no"	"Yes"
"umol/cm2"			"no"	"Yes"
"g/km"			"no"	"Yes"
"ml/kg sd"			"no"	"Yes"
"g/10 ft"			"no"	"Yes"
"ul/g bdwt"			"no"	"Yes"
"AI ng/org/d"			"no"	"Yes"
"ml/g bdwt"			"no"	"Yes"
"AI oz/1000 ft"			"no"	"Yes"
"mg/h"			"no"	"Yes"
"kg/50 m"			"no"	"Yes"
"mmol/d"			"no"	"Yes"
"mg/d/bdwt"			"no"	"Yes"
"mg/dose"			"no"	"Yes"
"g bt/eu"			"no"	"Yes"
"AI ug/cm2 media"			"no"	"Yes"
"cm3/eu"			"no"	"Yes"
"L/10 ac"			"no"	"Yes"
"ug/cm2 lf"			"no"	"Yes"
"ml/3.75 L"			"no"	"Yes"
"nM/L"			"no"	"Yes"
"mol/ha"			"no"	"Yes"
"mg/mm2"			"no"	"Yes"
"g/100 m2"			"no"	"Yes"
"Tbsp/eu"			"no"	"Yes"
"neq/g"			"no"	"Yes"
"lb/ac ft"			"no"	"Yes"
"ug/kg org/d"	"0.001"		"yes"	"Yes"
"ml/300 L/ha"			"no"	"Yes"
"AI g/acre"			"no"	"Yes"
"ug/2 org/d"			"no"	"Yes"
"dpm/g"			"no"	"Yes"
"mg%"			"no"	"Yes"
"mg diet"			"no"	"Yes"
"AI ml/200 L/ha"			"no"	"Yes"
"mg/TI"			"no"	"Yes"
"uCi/3.6 mg"			"no"	"Yes"
"mm"			"no"	"Yes"
"ml/500 g sd"			"no"	"Yes"
"units/l"			"no"	"Yes"
"AI ml/100 gal"			"no"	"Yes"
"AI ml/org"			"no"	"Yes"
"AI mg/ha"			"no"	"Yes"
"L/km"			"no"	"Yes"
"AI kg/0.4 ha"			"no"	"Yes"
"ml/ha"			"no"	"Yes"
"uCi/nmol"			"no"	"Yes"
"uCi/30 mg"			"no"	"Yes"
"ml/100 L H2O/acre"			"no"	"Yes"
"ml/kg dry seed"			"no"	"Yes"
"U/kg dry diet"			"no"	"Yes"
"mg/50 cm2"			"no"	"Yes"
"g/org/yr"			"no"	"Yes"
"IU/kg"			"no"	"Yes"
"umol/egg"			"no"	"Yes"
"cm3/hL"			"no"	"Yes"
"fl oz/10 gal/1k sqft"			"no"	"Yes"
"AI mg/sd"			"no"	"Yes"
"ng/cm"			"no"	"Yes"
"AI %/wt sd"			"no"	"Yes"
"ml/250 ml"			"no"	"Yes"
"uCi/mg"			"no"	"Yes"
"AI g/304.8 m"			"no"	"Yes"
"ml/3.8 L"			"no"	"Yes"
"uL/100 L"			"no"	"Yes"
"oz"			"no"	"Yes"
"g/org/d"			"no"	"Yes"
"AI mg/0.1 m2"			"no"	"Yes"
"ml/25 ml"			"no"	"Yes"
"mg/ft2"			"no"	"Yes"
"AI ml/ha"			"no"	"Yes"
"g/d"			"no"	"Yes"
"ul/kg bdwt"			"no"	"Yes"
"IU/kg diet"			"no"	"Yes"
"AI g/cm caliper"			"no"	"Yes"
"fl oz/1000 ft2"			"no"	"Yes"
"nl/cm2"			"no"	"Yes"
"ueq/g"			"no"	"Yes"
"dpm/EU"			"no"	"Yes"
"ng/cm2"			"no"	"Yes"
"ml/gal"			"no"	"Yes"
"mg/m2"			"no"	"Yes"
"ML"			"no"	"Yes"
"ptm"			"no"	"Yes"
"uM/ml"			"no"	"Yes"
"AI mg"			"no"	"Yes"
"AI L/feddan"			"no"	"Yes"
"ul/L soil"			"no"	"Yes"
"ml/10 L"			"no"	"Yes"
"ul/200 ml"			"no"	"Yes"
"lb/100 yd2"			"no"	"Yes"
"AI g/400 m2"			"no"	"Yes"
"AI mg/org"			"no"	"Yes"
"L/1.4 m3 soil"			"no"	"Yes"
"ng/egg"			"no"	"Yes"
"ml/8 L"			"no"	"Yes"
"ul/L"			"no"	"Yes"
"ug/g/kg bdwt"			"no"	"Yes"
"AI oz/acre"			"no"	"Yes"
"mol/org"			"no"	"Yes"
"pCi/ml"			"no"	"Yes"
"ml/100 kg sd"			"no"	"Yes"
"l/l"			"no"	"Yes"
"gal"			"no"	"Yes"
"meq"			"no"	"Yes"
"AI ml/kg sd"			"no"	"Yes"
"kg/org"			"no"	"Yes"
"AI ng/org"			"no"	"Yes"
"ppm/L"			"no"	"Yes"
"umol/org"			"no"	"Yes"
"gal/100 gal"			"no"	"Yes"
"ppm/ml"			"no"	"Yes"
"AI g"			"no"	"Yes"
"ml/100 L"			"no"	"Yes"
"AI ng/cm2"			"no"	"Yes"
"AI g/cm2"			"no"	"Yes"
"uM/kg/mi"			"no"	"Yes"
"AI lb/ga"			"no"	"Yes"
"mg/L 10 mi"			"no"	"Yes"
"AI mg/d"			"no"	"Yes"
"ae ppm"	"1"		"yes"	"Yes"
"uM"	"0.001MW"	"MW -molecular weight"	"yes"	"Yes"
"mg/ml"	"1000"		"yes"	"Yes"
"umol/g"	"1MW"	"MW -molecular weight"	"yes"	"Yes"
"mg/g bdwt"	"1000"		"yes"	"Yes"
"mg/g"	"1000"		"yes"	"Yes"
"ug/g egg"	"1"		"yes"	"Yes"
"nmol/kg"	"0.000001MW"	"in mole, cannot be converted"	"yes"	"Yes"
"umol/kg"	"0.001MW"	"in mole, cannot be converted"	"yes"	"Yes"
"mg/L"	"1"		"yes"	"Yes"
"ug/g dry wt"	"1"		"yes"	"Yes"
"AI ug/L"	"0.001"	"AI means active ingredient of a chemical substance. So does not affect the concentration value"	"yes"	"Yes"
"mg/kg/d"	"1"	"d – day is not relevant here"	"yes"	"Yes"
"mg/g soil"	"1000"		"yes"	"Yes"
"ppm"	"1"		"yes"	"Yes"
"ug/L"	"0.001"		"yes"	"Yes"
"g/kg bdwt"	"1000"		"yes"	"Yes"
"mmol/L"	"1MW"		"yes"	"Yes"
"ng/g"	"0.001"		"yes"	"Yes"
"mmol/kg soil"	"1MW"		"yes"	"Yes"
"ppb"	"0.001"	"ppb – parts per billion"	"yes"	"Yes"
"mmol/kg"	"1MW"		"yes"	"Yes"
"mg/kg dry wt"	"1"	"dry wt - dry weight"	"yes"	"Yes"
"mg/kg org/d"	"1"	"org – organism and d - day"	"yes"	"Yes"
"mg/70 g"	"14.28571429"		"yes"	"Yes"
"ug/ml"	"1"		"yes"	"Yes"
"umol/dm3"	"0.001MW"		"yes"	"Yes"
"ug/kg"	"0.001"		"yes"	"Yes"
"% w/v"	"10000"		"yes"	"Yes"
"mg/kg dry soil"	"1"		"yes"	"Yes"
"ug/g org"	"1"		"yes"	"Yes"
"ug/g soil"	"1"		"yes"	"Yes"
"nmol/ml"	"0.001MW"		"yes"	"Yes"
"ng/L"	"0.000001"		"yes"	"Yes"
"ug/g dry soil"	"1"		"yes"	"Yes"
"umol/L"	"0.001MW"		"yes"	"Yes"
"mg/kg/wk"	"1"	"wk – week is not relevant here"	"yes"	"Yes"
"g/kg/d"	"1000"	"d – day is not relevant here"	"yes"	"Yes"
"mg/kg"	"1"		"yes"	"Yes"
"nmol/L"	"0.000001MW"		"yes"	"Yes"
"ug/g bdwt"	"1"		"yes"	"Yes"
"pmol/L"	"0.000000001MW"	"in mole, cannot be converted"	"yes"	"Yes"
"ppm diet"	"1"		"yes"	"Yes"
"AI mg/L"	"1"	"AI means active ingredient of a chemical substance. So does not affect the concentration value"	"yes"	"Yes"
"%"	"10000"		"yes"	"Yes"
"mg/kg bdwt"	"1"		"yes"	"Yes"
"M"	"1000MW"	"molar"	"yes"	"Yes"
"mM"	"1MW"	"molar"	"yes"	"Yes"
"umol/kg bdwt"	"0.001MW"	"in mole, cannot be converted"	"yes"	"Yes"
"mg/kg soil"	"1"		"yes"	"Yes"
"mg/kg diet"	"1"		"yes"	"Yes"
"g/kg"	"1000"		"yes"	"Yes"
"AI ppm"	"1"		"yes"	"Yes"
"mg/kg org"	"1"		"yes"	"Yes"
"nmol/g"	"0.001MW"		"yes"	"Yes"
"ppm soil"	"1"		"yes"	"Yes"
"nmol/g diet"	"0.001MW"	"in mole, cannot be converted"	"yes"	"Yes"
"mg/g org"	"1000"	"org – organism"	"yes"	"Yes"
"ug/g"	"1"		"yes"	"Yes"
"% diet"	"10000"		"yes"	"Yes"
"nM"	"0.000001MW"	"molar"	"yes"	"Yes"
"g/L"	"1000"		"yes"	"Yes"
"mg/kg media"	"1"		"yes"	"Yes"
"% of diet"	"10000"		"yes"	"Yes"
